# name: hyades
# source: Hipparcos / Tycho / Tim Erickson
# importDate: 4/7/2024&comma; 7:03 AM
# description: Data on the region of sky in which the Hyades star cluster appears.
# attribute -- name: V, description: apparent visual magnitude. Remember: smaller is brighter!, editable: true
# attribute -- name: RA, description: right ascension (celestial longitude&comma; east-west), unit: degrees, editable: true
# attribute -- name: DEC, description: declination (celestial latitude&comma; north-south), unit: degrees, editable: true
# attribute -- name: parallax, description: annual "wiggle", unit: milliarcseconds, editable: true
# attribute -- name: PM_RA, description: proper motion (systematic speed on the sky) in right ascension (east-west), unit: milliarcsec/year, editable: true
# attribute -- name: PM_DEC, description: proper motion (systematic speed on the sky) in declination (north-south), unit: milliarcsec/year, editable: true
# attribute -- name: B_V, description: Color index B–V. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: V_I, description: Color index V–I. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: cluster, editable: true
V,RA,DEC,parallax,PM_RA,PM_DEC,B_V,V_I,cluster
7.46,64.9471,13.0859,4.69,-16.14,-11.29,1.52,1.56,Hyades
3.65,64.9481,15.6277,21.17,115.29,-23.86,0.981,0.95,Hyades
6.85,64.9783,16.5227,23.27,121.27,-36.65,0.509,0.61,Hyades
9.27,64.9786,10.619,2.45,5.85,-16.24,0.596,0.67,Hyades
5.58,64.9901,14.0352,22.31,115.42,-19.91,0.283,0.33,Hyades
7.46,65.0537,19.2336,22.27,115.67,-34.02,0.56,0.61,Hyades
9.29,65.1025,12.397,8.17,-17.81,-0.75,0.467,0.54,Hyades
6.11,65.1043,18.7427,21.12,119.59,-48.17,0.404,0.44,Hyades
5.26,65.151,15.0955,21.2,108.79,-20.67,0.225,0.25,Hyades
6.15,65.2194,13.8645,21.8,105.29,-17.97,0.456,0.53,Hyades
9.44,65.2284,15.9339,3.63,-5.53,-27.68,0.587,0.66,Hyades
8.14,65.287,10.5377,8.94,-15.95,-3.79,0.28,0.32,Hyades
8.04,65.3498,18.2663,1.67,4.01,-4.56,0.41,0.48,Hyades
6.79,65.3816,21.04,19.55,105.2,-36,0.434,0.5,Hyades
6.8,65.3842,18.4177,19.83,111.05,-31.69,0.441,0.5,Hyades
9.17,65.3869,16.8032,6.46,39.1,-105.18,0.554,0.63,Hyades
6.6,65.3947,14.4098,19.46,105.19,-19.11,0.412,0.48,Hyades
8.69,65.4237,10.7717,17.53,-30.55,-11.81,0.603,0.67,Hyades
8.37,65.4273,19.4685,11.96,-38.01,5.24,0.445,0.51,Hyades
7.37,65.4389,13.5849,7.87,-4.75,-0.72,0.172,0.19,Hyades
8.89,65.4952,15.785,4.49,-5.38,-12.32,1.408,1.39,Hyades
9.81,65.4976,19.5351,5.66,15.45,-12.48,1.116,1.08,Hyades
9.72,65.4991,11.573,4.61,5.85,-7.17,0.561,0.63,Hyades
9.27,65.5039,12.5089,19.15,29.73,66.31,0.689,0.75,Hyades
5.72,65.5144,14.0773,21.87,114.04,-21.4,0.315,0.37,Hyades
5.91,65.5947,20.8214,1.86,-1.99,-1.04,1.66,2.21,Hyades
9.79,65.6068,11.3057,19.17,115.03,-6.69,1.183,1.3,Hyades
6.97,65.6838,15.0561,21.45,111.98,-19.88,0.518,0.63,Hyades
7.86,65.6861,16.791,26.96,173.3,4.67,0.677,0.74,Hyades
8.11,65.7123,9.77146,7.6,14.13,-56.33,0.457,0.53,Hyades
3.77,65.7334,17.5426,21.29,107.75,-28.84,0.983,0.93,Hyades
6.64,65.8201,11.378,13.23,25.85,-35.07,,,Hyades
8.84,65.8428,21.3792,20.63,99.77,-39.07,0.758,0.8,Hyades
10.88,65.8443,10.8202,7.94,9.93,-4.23,0.444,0.51,Hyades
9.39,65.845,19.6588,15.82,98.53,-32.57,0.908,0.95,Hyades
5.64,65.8542,16.7773,21.17,105.09,-27.62,0.31,0.34,Hyades
10.47,65.855,15.7632,21.08,126.22,-30.5,1.231,1.39,Hyades
9.29,,,,,,0.649,0.7,Hyades
9.11,65.8844,14.6705,21.23,107.57,-18.24,0.855,0.89,Hyades
6,65.8848,20.9821,6.77,15.93,-35.07,0.029,0.05,Hyades
7.55,65.923,13.8287,5.47,-4.93,-22.14,1.09,1.05,Hyades
8.67,65.9301,11.5169,4.91,-3.54,-8.64,0.375,0.44,Hyades
10.89,65.9764,14.0521,22.57,115.9,-15.21,1.288,1.35,Hyades
8.75,65.9854,14.4129,4.25,26.47,-24.55,1.37,1.34,Hyades
7.7,66.0187,12.9725,6.58,69.19,-36.4,1,0.98,Hyades
4.8,66.0237,17.4442,22.36,109.99,-33.47,0.154,0.18,Hyades
7.58,66.0517,14.7583,22.25,97.38,-33.51,0.604,0.7,Hyades
6.42,66.0603,12.158,4.57,15.83,-22.23,1.408,1.39,Hyades
9.99,66.0703,18.003,19.35,112.72,-33.2,1.05,1.02,Hyades
6.96,66.0926,17.079,18.74,99.08,-27.93,0.45,0.52,Hyades
7.79,66.1177,16.8862,20.73,110.89,-24.72,0.599,0.69,Hyades
7.87,66.1685,12.904,6,-8.64,1.06,0.411,0.48,Hyades
7.22,66.175,10.0468,9.31,23.43,-51.52,0.21,0.23,Hyades
7.35,66.179,18.9131,2.49,13.28,-16.84,0.364,0.43,Hyades
11.66,66.2,15.8748,24.41,102.58,-26.06,1.408,1.69,Hyades
5.97,66.2377,19.0421,20.4,110.73,-32.5,0.378,0.47,Hyades
8.41,66.2512,11.978,21,43.19,-16.32,0.639,0.7,Hyades
8.73,66.3661,18.8843,4.53,-8.15,-7.83,1.27,1.23,Hyades
4.3,66.3722,17.928,22.05,108.26,-32.47,0.049,0.08,Hyades
6.44,66.4052,15.9411,21.47,104.62,-28.83,0.509,0.58,Hyades
8.6,66.4238,9.72507,1.77,14.17,-12.68,0.625,0.69,Hyades
8.99,66.4479,18.0174,20.79,112.62,-35.79,0.935,0.98,Hyades
8.48,66.4481,21.1381,4.44,-12.14,25.96,1.251,1.21,Hyades
8.07,66.4652,18.8641,23.08,110.87,-33.75,0.68,0.74,Hyades
7.36,66.5768,21.4705,21.54,105.82,-36.48,0.557,0.63,Hyades
4.48,66.5861,15.6183,20.86,114.66,-33.3,0.262,0.33,Hyades
8.04,66.6023,16.8534,21.76,103.64,-17.58,0.651,0.71,Hyades
4.69,66.6516,14.7139,7.17,-7.57,-31.15,0.979,0.96,Hyades
9.23,66.6624,14.2205,7.92,-39.05,54.76,0.527,0.6,Hyades
8.1,66.6669,16.747,21.42,110.29,-27.82,0.664,0.72,Hyades
10.5,66.6781,12.6866,28.27,123.44,-16.78,1.358,1.59,Hyades
9.45,66.7008,10.8711,23.03,111.07,-16.26,1.033,1.08,Hyades
6.86,66.713,17.0288,5.77,27.27,-52.56,1.494,1.52,Hyades
10.48,66.7262,13.1382,21.83,104.54,-18.1,1.146,1.11,Hyades
7.69,66.7523,19.118,15.26,95.44,-130.1,0.586,0.66,Hyades
7.46,66.7565,19.8433,2.31,6.45,-10.97,0.317,0.37,Hyades
6.94,66.7702,18.2076,8.04,2.83,-17.77,0.021,0.04,Hyades
9.57,66.7749,18.2103,7.69,-5.93,-33.28,0.609,0.68,Hyades
8.57,66.7808,20.991,11.09,10.22,-51.36,0.797,0.83,Hyades
5.87,66.8699,11.2123,6.7,-2.51,-13.2,0.049,0.06,Hyades
11.05,66.8846,15.3654,8.66,86.29,-25.06,0.808,0.85,Hyades
7.41,66.8993,15.5892,21.83,103.54,-25.16,0.537,0.6,Hyades
7.49,66.9417,11.7364,21.18,110.28,-12.11,0.56,0.63,Hyades
