# name: golden gate tides and weather
# source: https://tidesandcurrents.noaa.gov/
# importDate: 4/9/2024&comma; 10:50 AM
# description: July 2023 tides at the Golden Gate in San Francisco&comma; CA&comma; USA.&NewLine;&NewLine;We also added some weather data&comma; which lets you ask other interesting questions.
# attribute -- name: when, type: date, editable: true
# attribute -- name: Predicted, description: predicted height of the water, unit: ft, editable: true
# attribute -- name: Verified, description: Acutal&comma; verified water height, unit: ft, precision: 4, editable: true
# attribute -- name: Time, description: Local time (Pacific daylight&comma; GMT – 7), editable: true
# attribute -- name: Wind Speed, unit: kt, editable: true
# attribute -- name: Wind Dir, description: North is 0&comma; FROM the west is 270., unit: deg, editable: true
# attribute -- name: Wind Gust, unit: kt, editable: true
# attribute -- name: Air Temp, unit: °F, editable: true
# attribute -- name: Baro, description: Barometric pressure. Standard at sea level is 1013., unit: mb, editable: true
when,Predicted,Verified,Time,Wind Speed,Wind Dir,Wind Gust,Air Temp,Baro
"7/7/2023, 2:00 PM",3.656,3.98,14:00,14.58,245,22.35,57,1012.2
"7/7/2023, 3:00 PM",4.708,4.96,15:00,14.77,244,22.35,57.4,1012.2
"7/7/2023, 4:00 PM",5.312,5.63,16:00,4.47,225,15.16,58.8,1012.2
"7/7/2023, 5:00 PM",5.318,5.6,17:00,12.44,241,21.38,57.9,1011.7
"7/7/2023, 6:00 PM",4.774,5.17,18:00,12.05,243,22.55,57.7,1011.3
"7/7/2023, 7:00 PM",3.916,4.35,19:00,10.3,252,16.33,57.2,1011.2
"7/7/2023, 8:00 PM",3.067,3.41,20:00,8.75,273,17.3,56.5,1011.1
"7/7/2023, 9:00 PM",2.514,2.79,21:00,11.08,259,17.3,55.8,1010.9
"7/7/2023, 10:00 PM",2.384,2.59,22:00,11.27,237,18.27,55.4,1011.6
"7/7/2023, 11:00 PM",2.666,2.96,23:00,9.91,250,16.52,55.2,1011.7
"7/8/2023, 12:00 AM",3.278,3.54,00:00,8.16,243,14.19,55,1011.8
"7/8/2023, 1:00 AM",4.056,4.29,01:00,7.58,261,13.41,54.9,1011.7
"7/8/2023, 2:00 AM",4.786,5,02:00,6.22,256,12.63,54.3,1012
"7/8/2023, 3:00 AM",5.269,5.47,03:00,11.66,254,18.66,54.1,1011.8
"7/8/2023, 4:00 AM",5.315,5.63,04:00,12.83,251,19.83,54,1011.8
"7/8/2023, 5:00 AM",4.784,5.06,05:00,10.3,250,16.33,54.1,1012.1
"7/8/2023, 6:00 AM",3.71,4,06:00,7.97,259,13.61,54.1,1012.4
"7/8/2023, 7:00 AM",2.338,2.46,07:00,6.22,287,9.72,55,1012.8
"7/8/2023, 8:00 AM",1.02,1.2,08:00,11.66,268,17.11,55.6,1013
"7/8/2023, 9:00 AM",0.095,0.33,09:00,11.27,268,17.3,55.8,1013.2
"7/8/2023, 10:00 AM",-0.249,0.04,10:00,13.8,261,19.63,56.3,1013.4
"7/8/2023, 11:00 AM",-0.003,0.22,11:00,12.63,264,19.63,56.8,1013.4
"7/8/2023, 12:00 PM",0.745,1.05,12:00,7.39,246,17.3,58.3,1013.4
"7/8/2023, 1:00 PM",1.844,2.12,13:00,15.94,259,25.85,57.7,1012.9
"7/8/2023, 2:00 PM",3.085,3.36,14:00,14.19,258,23.71,58.1,1012.7
"7/8/2023, 3:00 PM",4.259,4.54,15:00,13.61,255,23.33,58.3,1012.6
"7/8/2023, 4:00 PM",5.169,5.35,16:00,11.47,245,19.44,58.1,1012.6
"7/8/2023, 5:00 PM",5.607,5.86,17:00,11.66,239,22.35,57.2,1012.3
"7/8/2023, 6:00 PM",5.452,5.67,18:00,12.05,238,19.83,56.7,1012.1
"7/8/2023, 7:00 PM",4.776,5.09,19:00,12.83,244,19.83,56.1,1012.1
"7/8/2023, 8:00 PM",3.812,4.16,20:00,14.58,232,21.77,55.4,1012.2
"7/8/2023, 9:00 PM",2.871,3.13,21:00,10.69,254,21.19,54.7,1012.5
"7/8/2023, 10:00 PM",2.216,2.38,22:00,9.33,243,17.88,54.3,1013
"7/8/2023, 11:00 PM",1.97,2.16,23:00,11.27,259,24.1,54.1,1013
"7/9/2023, 12:00 AM",2.136,2.39,00:00,12.63,265,17.3,53.8,1013
"7/9/2023, 1:00 AM",2.645,2.85,01:00,8.75,258,18.08,53.8,1012.8
"7/9/2023, 2:00 AM",3.338,3.62,02:00,7.58,247,13.41,53.6,1012.7
"7/9/2023, 3:00 AM",4.018,4.27,03:00,10.11,250,16.13,53.1,1012.7
"7/9/2023, 4:00 AM",4.511,4.76,04:00,11.08,260,14.77,52.9,1012.7
"7/9/2023, 5:00 AM",4.645,4.83,05:00,10.5,267,17.11,52.9,1012.9
"7/9/2023, 6:00 AM",4.291,4.54,06:00,10.11,265,16.52,52.5,1013.1
"7/9/2023, 7:00 AM",3.481,3.76,07:00,8.94,252,19.63,52.7,1013.5
"7/9/2023, 8:00 AM",2.416,2.59,08:00,6.22,240,15.36,52.7,1014.2
